ticker,date,predicted_return,lower_bound_return,bound_width
RELIANCE.NS,2025-05-22,-0.038,-0.0401,0.0034
RELIANCE.NS,2025-05-25,-0.0433,-0.0455,0.0034
RELIANCE.NS,2025-05-26,-0.0348,-0.0369,0.0034
RELIANCE.NS,2025-05-27,-0.0285,-0.0307,0.0034
RELIANCE.NS,2025-05-28,-0.0319,-0.034,0.0034
RELIANCE.NS,2025-05-29,-0.034,-0.0361,0.0034
RELIANCE.NS,2025-06-01,-0.0291,-0.0312,0.0034
RELIANCE.NS,2025-06-02,-0.0234,-0.0256,0.0034
RELIANCE.NS,2025-06-03,-0.0357,-0.0379,0.0034
RELIANCE.NS,2025-06-04,-0.0484,-0.0505,0.0033
RELIANCE.NS,2025-06-05,-0.0491,-0.0512,0.0033
RELIANCE.NS,2025-06-08,-0.0526,-0.0547,0.0033
RELIANCE.NS,2025-06-09,-0.0458,-0.0479,0.0034
RELIANCE.NS,2025-06-10,-0.0526,-0.0548,0.0033
RELIANCE.NS,2025-06-11,-0.0478,-0.05,0.0033
RELIANCE.NS,2025-06-12,-0.0387,-0.0409,0.0034
RELIANCE.NS,2025-06-15,-0.0453,-0.0475,0.0034
RELIANCE.NS,2025-06-16,-0.0409,-0.0431,0.0034
RELIANCE.NS,2025-06-17,-0.0402,-0.0423,0.0034
RELIANCE.NS,2025-06-18,-0.0423,-0.0445,0.0034
RELIANCE.NS,2025-06-19,-0.0638,-0.0659,0.0033
RELIANCE.NS,2025-06-22,-0.0578,-0.0599,0.0033
RELIANCE.NS,2025-06-23,-0.0539,-0.056,0.0033
RELIANCE.NS,2025-06-24,-0.0645,-0.0666,0.0033
RELIANCE.NS,2025-06-25,-0.082,-0.0841,0.0032
RELIANCE.NS,2025-06-26,-0.0942,-0.0962,0.0032
RELIANCE.NS,2025-06-29,-0.0853,-0.0873,0.0032
RELIANCE.NS,2025-06-30,-0.1019,-0.1039,0.0032
RELIANCE.NS,2025-07-01,-0.0962,-0.0983,0.0032
RELIANCE.NS,2025-07-02,-0.0956,-0.0977,0.0032
RELIANCE.NS,2025-07-03,-0.1013,-0.1033,0.0032
RELIANCE.NS,2025-07-06,-0.1095,-0.1115,0.0031
RELIANCE.NS,2025-07-07,-0.1073,-0.1093,0.0031
RELIANCE.NS,2025-07-08,-0.0964,-0.0984,0.0032
RELIANCE.NS,2025-07-09,-0.0953,-0.0973,0.0032
RELIANCE.NS,2025-07-10,-0.082,-0.084,0.0032
RELIANCE.NS,2025-07-13,-0.0749,-0.0769,0.0033
RELIANCE.NS,2025-07-14,-0.0759,-0.078,0.0033
RELIANCE.NS,2025-07-15,-0.076,-0.0781,0.0033
RELIANCE.NS,2025-07-16,-0.0703,-0.0724,0.0033
RELIANCE.NS,2025-07-17,-0.07,-0.0721,0.0033
RELIANCE.NS,2025-07-20,-0.0392,-0.0413,0.0034
RELIANCE.NS,2025-07-21,-0.0284,-0.0306,0.0034
RELIANCE.NS,2025-07-22,-0.0365,-0.0386,0.0034
RELIANCE.NS,2025-07-23,-0.0216,-0.0238,0.0034
RELIANCE.NS,2025-07-24,-0.0137,-0.0159,0.0035
RELIANCE.NS,2025-07-27,-0.0108,-0.013,0.0035
RELIANCE.NS,2025-07-28,-0.0314,-0.0335,0.0034
RELIANCE.NS,2025-07-29,-0.0266,-0.0287,0.0034
RELIANCE.NS,2025-07-30,-0.0126,-0.0148,0.0035
RELIANCE.NS,2025-07-31,-0.0151,-0.0173,0.0035
RELIANCE.NS,2025-08-03,-0.0275,-0.0297,0.0034
RELIANCE.NS,2025-08-04,-0.0137,-0.0159,0.0035
RELIANCE.NS,2025-08-05,-0.0145,-0.0167,0.0035
RELIANCE.NS,2025-08-06,-0.0121,-0.0143,0.0035
RELIANCE.NS,2025-08-07,0.0035,0.0013,0.0035
RELIANCE.NS,2025-08-10,-0.0098,-0.012,0.0035
RELIANCE.NS,2025-08-11,-0.0056,-0.0078,0.0035
RELIANCE.NS,2025-08-12,-0.0072,-0.0094,0.0035
RELIANCE.NS,2025-08-13,-0.0048,-0.007,0.0035
RELIANCE.NS,2025-08-17,-0.0105,-0.0127,0.0035
RELIANCE.NS,2025-08-18,-0.0373,-0.0394,0.0034
RELIANCE.NS,2025-08-19,-0.0324,-0.0346,0.0034
RELIANCE.NS,2025-08-20,-0.0404,-0.0426,0.0034
RELIANCE.NS,2025-08-21,-0.0298,-0.032,0.0034
RELIANCE.NS,2025-08-24,-0.0322,-0.0343,0.0034
RELIANCE.NS,2025-08-25,-0.0128,-0.015,0.0035
RELIANCE.NS,2025-08-27,-0.0135,-0.0157,0.0035
RELIANCE.NS,2025-08-28,0.0073,0.0051,0.0035
RELIANCE.NS,2025-08-31,0.0098,0.0075,0.0036
RELIANCE.NS,2025-09-01,0.0005,-0.0017,0.0035
RELIANCE.NS,2025-09-02,-0.004,-0.0062,0.0035
